"Key","Summary","Status","Priority","Type","Project","Created","Updated"
"WCB-231","Modify employee detail page to use people sync fields","New","Medium","Task","WCB","2026-02-06","2026-02-06"
"WCB-228","Implement AAD Group Membership Filter for PeopleSync - TransitiveMembers Support","In Progress","Medium","Task","WCB","2026-02-02","2026-02-04"
"WCB-193","Performance Checklist hub.wcb.ab.ca","In Progress","Highest","Story","WCB","2025-11-26","2026-01-15"
"WCB-225","DEV Release - 12/15/2025","Backlog","Medium","Task","WCB","2025-12-15","2026-01-15"
"WCB-224","PROD Release - 12/15/2025","Backlog","Medium","Task","WCB","2025-12-15","2026-01-15"
"LAC-153","Change Tab title font size for HTML Tab widget","Ready for PROD Deploy","Highest","Story","LAC","2025-10-27","2026-01-05"
"LAC-165","Loading... displaying in Header","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-07","2026-01-05"
"LAC-174","Homepage-Events-Featured is not using the correct branding colors","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-24","2026-01-05"
"LAC-171","Top Nav menu links to error page","Ready for PROD Deploy","High","Bug","LAC","2025-11-19","2026-01-05"
"LAC-177","Homepage Videos (Streams Widget) modal responsive styling doesn't match other video modals","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-25","2026-01-05"
"LAC-175","News Detail-displaying comment error","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-24","2026-01-05"
"LAC-176","Employee Detail-Displaying different view when using the link in the Typeahead on a department site","Ready for PROD Deploy","Highest","Bug","LAC","2025-11-24","2026-01-05"
"LAC-220","Court Resources Widget - Initial Feedback and Issues","New","Medium","Bug","LAC","2026-01-21","2026-01-21"
"LAC-214","Checking access to LAC environment","New","Medium","Task","LAC","2026-01-05","2026-01-05"
"LAC-216","Dev Deployment 1/9","Backlog","Highest","Story","LAC","2026-01-05","2026-01-15"
"LAC-179","Performance Checklist","Backlog","Medium","Story","LAC","2025-11-26","2025-12-22"
"JMSMUC-100","Analytics Dashboard not showing widgets","On Hold","High","Bug","JMSMUC","2026-01-27","2026-01-27"
"JMSMUC-30","Configure Analytics","Client Validation on Dev","Medium","Story","JMSMUC","2025-11-12","2026-01-27"
"JMSMUC-79","Homepage Events widget not pulling Events","Client Validation on Dev","Medium","Bug","JMSMUC","2025-12-09","2025-12-22"
"JMSMUC-105","Create Virtual Pages Pipeline","Backlog","Medium","Story","JMSMUC","2026-02-04","2026-02-04"
"JMSMUC-99","Our People - Custom Widget","Backlog","High","Story","JMSMUC","2026-01-27","2026-01-27"
"JMSMUC-64","Pre-Launch Checklist","Backlog","Medium","Story","JMSMUC","2025-11-12","2026-01-16"
"JMSMUC-63","Performance Tuning","Backlog","Medium","Story","JMSMUC","2025-11-12","2026-01-16"
